lake_name,siteID,state,latitude,longitude,elevation_m,max_depth_m,fetch_m,volume_m3,surface_area_km2,mean_secchi_depth_m,mixing_regime,mean_annual_temperature_degreeC,mean_annual_precipitation_mm,air_temp_10day_sd_degreeC,mean_hydraulic_residence_time_yrs,catchment_size_km2,catchment_cover,n_rs_images,rs_median_abs_bias,avg_wind,n_strat_days
Barco Lake,BARC,Florida,29.675982,-82.008414,27,5.2,425,256888,0.12,4.08,Polymictic,20.9,1308,1.09,3.3,0.81,shrub/scrub,47,0.396676,1.433,0
Suggs Lake,SUGG,Florida,29.68778,-82.017745,32,3.2,867,415356,0.31,0.43,Polymictic,20.9,1308,1.09,1.6,36.9,evergreen/forest;woody wetlands,33,0.008667777,1.609,0
Crampton Lake,CRAM,Wisconsin,46.209675,-89.473688,509,19,782,889734,0.26,4.16,Dimictic,4.3,794,2.86,4.9,0.6,woody wetlands,29,0.410936374,1.416,124
Little Rock Lake,LIRO,Wisconsin,45.998269,-89.704767,501,10,623,466757,0.19,4.37,Dimictic,4.4,796,2.86,3.4,0.9,deciduous forest; mixed forest,15,0.431448203,1.301,155.5
Prairie Lake,PRLA,North Dakota,47.15909,-99.11388,565,4,"1,010",389429,0.23,0.33,Polymictic,4.9,490,3.34,3.8,4.5,grassland/herbaceous,32,1.407236507,4.149,43
Prairie Pothole,PRPO,North Dakota,47.129839,-99.253147,579,4,511,158520,0.11,0.4,Polymictic,4.9,494,3.39,3.2,1.4,grassland/herbaceous,32,2.306662442,4.266,20
Lake Sunapee,sunp,New Hampshire,43.383904,-72.054173,333,33,13120,188000000,16.9,6.69,Dimictic,7,1078,2.99,3.1,120,,21,0.493526251,3.336,134
Falling Creek Reservoir,fcre,Virginia,37.30325,-79.8373,507,9.3,700,308836,0.119,1.71,Dimictic,11.3,1008,2.04,0.5,3.5,,52,0.315258393,1.981,237
Beaverdam Reservoir,bvre,Virginia,37.314783,-79.820864,589,13.4,950,1357140,0.39,2.01,Dimictic,11.3,1008,2.04,0.9,4.1,,47,0.450772671,1.981,153
Carvins Cove Reservoir,ccre,Virginia,37.38547,-79.950403,356.6,22,3000,23011636,2.48,3.53,Dimictic,13,1021,2.05,1.2,45.8,,60,0.087076154,2.295,215
