datetime,site_id,variable,depth,observation
2013-05-14T00:00:00Z,BARC,temperature,NA,NA
2013-05-30T00:00:00Z,BARC,temperature,NA,NA
2013-07-08T00:00:00Z,BARC,temperature,NA,NA
2013-08-02T00:00:00Z,BARC,temperature,NA,NA
2013-10-05T00:00:00Z,BARC,temperature,NA,NA
2013-10-12T00:00:00Z,BARC,temperature,NA,NA
2013-10-28T00:00:00Z,BARC,temperature,NA,NA
2013-11-29T00:00:00Z,BARC,temperature,NA,NA
2013-12-08T00:00:00Z,BARC,temperature,NA,NA
2013-12-24T00:00:00Z,BARC,temperature,NA,NA
2014-01-16T00:00:00Z,BARC,temperature,NA,NA
2014-02-10T00:00:00Z,BARC,temperature,NA,NA
2014-02-17T00:00:00Z,BARC,temperature,NA,NA
2014-03-14T00:00:00Z,BARC,temperature,NA,NA
2014-03-21T00:00:00Z,BARC,temperature,NA,NA
2014-03-30T00:00:00Z,BARC,temperature,NA,NA
2014-05-17T00:00:00Z,BARC,temperature,NA,NA
2014-06-09T00:00:00Z,BARC,temperature,NA,NA
2014-08-05T00:00:00Z,BARC,temperature,NA,NA
2014-08-21T00:00:00Z,BARC,temperature,NA,NA
2014-08-28T00:00:00Z,BARC,temperature,NA,NA
2014-09-13T00:00:00Z,BARC,temperature,NA,NA
2014-10-08T00:00:00Z,BARC,temperature,NA,NA
2014-10-15T00:00:00Z,BARC,temperature,NA,NA
2014-10-24T00:00:00Z,BARC,temperature,NA,NA
2014-11-16T00:00:00Z,BARC,temperature,NA,NA
2014-12-02T00:00:00Z,BARC,temperature,NA,NA
2015-01-19T00:00:00Z,BARC,temperature,NA,NA
2015-02-20T00:00:00Z,BARC,temperature,NA,NA
2015-03-17T00:00:00Z,BARC,temperature,NA,NA
2015-04-09T00:00:00Z,BARC,temperature,NA,NA
2015-04-18T00:00:00Z,BARC,temperature,NA,NA
2015-05-20T00:00:00Z,BARC,temperature,NA,NA
2015-05-27T00:00:00Z,BARC,temperature,NA,NA
2015-07-23T00:00:00Z,BARC,temperature,NA,NA
2015-08-15T00:00:00Z,BARC,temperature,NA,NA
2015-09-25T00:00:00Z,BARC,temperature,NA,NA
2015-11-28T00:00:00Z,BARC,temperature,NA,NA
