datetime,site_id,variable,depth,observation
2013-05-13T00:00:00Z,LIRO,temperature,NA,NA
2013-06-14T00:00:00Z,LIRO,temperature,NA,NA
2013-07-16T00:00:00Z,LIRO,temperature,NA,NA
2013-08-17T00:00:00Z,LIRO,temperature,NA,NA
2014-10-07T00:00:00Z,LIRO,temperature,NA,NA
2015-04-17T00:00:00Z,LIRO,temperature,NA,NA
2015-04-26T00:00:00Z,LIRO,temperature,NA,NA
2015-05-03T00:00:00Z,LIRO,temperature,NA,NA
2015-11-11T00:00:00Z,LIRO,temperature,NA,NA
2016-05-05T00:00:00Z,LIRO,temperature,NA,NA
2016-05-21T00:00:00Z,LIRO,temperature,NA,NA
2016-06-22T00:00:00Z,LIRO,temperature,NA,NA
2016-08-25T00:00:00Z,LIRO,temperature,NA,NA
2016-11-13T00:00:00Z,LIRO,temperature,NA,NA
2017-04-06T00:00:00Z,LIRO,temperature,NA,NA
2017-04-22T00:00:00Z,LIRO,temperature,NA,NA
2017-05-08T00:00:00Z,LIRO,temperature,NA,NA
2017-06-09T00:00:00Z,LIRO,temperature,NA,NA
2017-07-27T00:00:00Z,LIRO,temperature,NA,NA
2017-08-12T00:00:00Z,LIRO,temperature,NA,NA
2017-09-13T00:00:00Z,LIRO,temperature,NA,NA
2018-06-28T00:00:00Z,LIRO,temperature,NA,NA
2018-07-14T00:00:00Z,LIRO,temperature,0,26.532083333333333
2018-07-14T00:00:00Z,LIRO,temperature,0.5,25.477083333333333
2018-07-14T00:00:00Z,LIRO,temperature,1,24.911041666666662
2018-07-14T00:00:00Z,LIRO,temperature,1.5,24.663333333333338
2018-07-14T00:00:00Z,LIRO,temperature,2,24.524375
2018-07-14T00:00:00Z,LIRO,temperature,2.5,24.188958333333332
2018-07-14T00:00:00Z,LIRO,temperature,3,22.19
2018-07-14T00:00:00Z,LIRO,temperature,3.5,18.434166666666663
2018-07-14T00:00:00Z,LIRO,temperature,4,15.137708333333332
2018-07-14T00:00:00Z,LIRO,temperature,4.5,12.436458333333333
2018-07-30T00:00:00Z,LIRO,temperature,0,23.4225
2018-07-30T00:00:00Z,LIRO,temperature,0.5,22.849166666666665
2018-07-30T00:00:00Z,LIRO,temperature,1,22.585
2018-07-30T00:00:00Z,LIRO,temperature,1.5,22.410416666666663
2018-07-30T00:00:00Z,LIRO,temperature,2,22.275833333333335
2018-07-30T00:00:00Z,LIRO,temperature,2.5,22.059583333333332
2018-07-30T00:00:00Z,LIRO,temperature,3,21.746875
2018-07-30T00:00:00Z,LIRO,temperature,3.5,20.505625
2018-07-30T00:00:00Z,LIRO,temperature,4,17.049583333333334
2018-07-30T00:00:00Z,LIRO,temperature,4.5,13.966041666666667
2018-09-16T00:00:00Z,LIRO,temperature,0,23.019166666666667
2018-09-16T00:00:00Z,LIRO,temperature,0.5,22.658333333333335
2018-09-16T00:00:00Z,LIRO,temperature,1,21.956041666666668
2018-09-16T00:00:00Z,LIRO,temperature,1.5,21.451666666666668
2018-09-16T00:00:00Z,LIRO,temperature,2,20.952708333333337
2018-09-16T00:00:00Z,LIRO,temperature,2.5,20.533333333333335
2018-09-16T00:00:00Z,LIRO,temperature,3,20.175625
2018-09-16T00:00:00Z,LIRO,temperature,3.5,19.789375
2018-09-16T00:00:00Z,LIRO,temperature,4,19.112708333333337
2018-09-16T00:00:00Z,LIRO,temperature,4.5,17.399166666666666
2018-10-18T00:00:00Z,LIRO,temperature,0,7.274375
2018-10-18T00:00:00Z,LIRO,temperature,0.5,7.282708333333333
2018-10-18T00:00:00Z,LIRO,temperature,1,7.274583333333333
2018-10-18T00:00:00Z,LIRO,temperature,1.5,7.260416666666667
2018-10-18T00:00:00Z,LIRO,temperature,2,7.25125
2018-10-18T00:00:00Z,LIRO,temperature,2.5,7.2425
2018-10-18T00:00:00Z,LIRO,temperature,3,7.232708333333333
2018-10-18T00:00:00Z,LIRO,temperature,3.5,7.225625
2018-10-18T00:00:00Z,LIRO,temperature,4,7.21625
2018-10-18T00:00:00Z,LIRO,temperature,4.5,7.203541666666666
2018-11-03T00:00:00Z,LIRO,temperature,NA,NA
2019-06-15T00:00:00Z,LIRO,temperature,0,18.88
2019-06-15T00:00:00Z,LIRO,temperature,0.5,18.852708333333332
2019-06-15T00:00:00Z,LIRO,temperature,1,18.748958333333334
2019-06-15T00:00:00Z,LIRO,temperature,1.5,18.543333333333333
2019-06-15T00:00:00Z,LIRO,temperature,2,18.444583333333338
2019-06-15T00:00:00Z,LIRO,temperature,2.5,18.283958333333334
2019-06-15T00:00:00Z,LIRO,temperature,3,17.464375
2019-06-15T00:00:00Z,LIRO,temperature,3.5,14.905833333333334
2019-06-15T00:00:00Z,LIRO,temperature,4,13.058125
2019-06-15T00:00:00Z,LIRO,temperature,4.5,11.353333333333332
2020-04-30T00:00:00Z,LIRO,temperature,NA,NA
2020-06-17T00:00:00Z,LIRO,temperature,0,21.762285714285714
2020-06-17T00:00:00Z,LIRO,temperature,0.5,21.66657142857143
2020-06-17T00:00:00Z,LIRO,temperature,1,21.077142857142857
2020-06-17T00:00:00Z,LIRO,temperature,1.5,20.386285714285716
2020-06-17T00:00:00Z,LIRO,temperature,2,19.966571428571427
2020-06-17T00:00:00Z,LIRO,temperature,2.5,19.543714285714287
2020-06-17T00:00:00Z,LIRO,temperature,3,18.798285714285715
2020-06-17T00:00:00Z,LIRO,temperature,3.5,16.917714285714286
2020-06-17T00:00:00Z,LIRO,temperature,4,14.583142857142857
2020-06-17T00:00:00Z,LIRO,temperature,4.5,12.812285714285714
2020-07-03T00:00:00Z,LIRO,temperature,0,27.628125
2020-07-03T00:00:00Z,LIRO,temperature,0.5,27.178125
2020-07-03T00:00:00Z,LIRO,temperature,1,26.810625
2020-07-03T00:00:00Z,LIRO,temperature,1.5,26.282708333333332
2020-07-03T00:00:00Z,LIRO,temperature,2,24.699791666666663
2020-07-03T00:00:00Z,LIRO,temperature,2.5,22.97125
2020-07-03T00:00:00Z,LIRO,temperature,3,21.038333333333338
2020-07-03T00:00:00Z,LIRO,temperature,3.5,18.726458333333333
2020-07-03T00:00:00Z,LIRO,temperature,4,16.344375
2020-07-03T00:00:00Z,LIRO,temperature,4.5,14.209375
2020-09-05T00:00:00Z,LIRO,temperature,0,19.51
2020-09-05T00:00:00Z,LIRO,temperature,0.5,19.402291666666667
2020-09-05T00:00:00Z,LIRO,temperature,1,19.30291666666667
2020-09-05T00:00:00Z,LIRO,temperature,1.5,19.17791666666667
2020-09-05T00:00:00Z,LIRO,temperature,2,19.106458333333332
2020-09-05T00:00:00Z,LIRO,temperature,2.5,19.066458333333333
2020-09-05T00:00:00Z,LIRO,temperature,3,19.019375
2020-09-05T00:00:00Z,LIRO,temperature,3.5,18.954583333333332
2020-09-05T00:00:00Z,LIRO,temperature,4,18.874583333333337
2020-09-05T00:00:00Z,LIRO,temperature,4.5,18.715625
2021-04-01T00:00:00Z,LIRO,temperature,NA,NA
2021-04-17T00:00:00Z,LIRO,temperature,0,8.901875
2021-04-17T00:00:00Z,LIRO,temperature,0.5,8.873125
2021-04-17T00:00:00Z,LIRO,temperature,1,8.832083333333333
2021-04-17T00:00:00Z,LIRO,temperature,1.5,8.776458333333334
2021-04-17T00:00:00Z,LIRO,temperature,2,8.599375
2021-04-17T00:00:00Z,LIRO,temperature,2.5,8.26375
2021-04-17T00:00:00Z,LIRO,temperature,3,7.841041666666667
2021-04-17T00:00:00Z,LIRO,temperature,3.5,7.072291666666667
2021-04-17T00:00:00Z,LIRO,temperature,4,6.460208333333333
2021-04-17T00:00:00Z,LIRO,temperature,4.5,6.088125
2021-06-04T00:00:00Z,LIRO,temperature,0,19.196666666666665
2021-06-04T00:00:00Z,LIRO,temperature,0.5,18.85875
2021-06-04T00:00:00Z,LIRO,temperature,1,18.29125
2021-06-04T00:00:00Z,LIRO,temperature,1.5,17.465
2021-06-04T00:00:00Z,LIRO,temperature,2,16.7275
2021-06-04T00:00:00Z,LIRO,temperature,2.5,16.231875
2021-06-04T00:00:00Z,LIRO,temperature,3,15.665416666666667
2021-06-04T00:00:00Z,LIRO,temperature,3.5,14.661875
2021-06-04T00:00:00Z,LIRO,temperature,4,13.349375
2021-06-04T00:00:00Z,LIRO,temperature,4.5,12.068958333333333
2021-09-24T00:00:00Z,LIRO,temperature,0,18.156041666666667
2021-09-24T00:00:00Z,LIRO,temperature,0.5,18.149375
2021-09-24T00:00:00Z,LIRO,temperature,1,18.12
2021-09-24T00:00:00Z,LIRO,temperature,1.5,18.090208333333333
2021-09-24T00:00:00Z,LIRO,temperature,2,18.066666666666663
2021-09-24T00:00:00Z,LIRO,temperature,2.5,18.0125
2021-09-24T00:00:00Z,LIRO,temperature,3,17.971458333333334
2021-09-24T00:00:00Z,LIRO,temperature,3.5,17.931666666666665
2021-09-24T00:00:00Z,LIRO,temperature,4,17.885
2021-09-24T00:00:00Z,LIRO,temperature,4.5,17.808125
2022-05-06T00:00:00Z,LIRO,temperature,0,10.323125
2022-05-06T00:00:00Z,LIRO,temperature,0.5,10.176041666666666
2022-05-06T00:00:00Z,LIRO,temperature,1,9.3575
2022-05-06T00:00:00Z,LIRO,temperature,1.5,8.041666666666666
2022-05-06T00:00:00Z,LIRO,temperature,2,6.909166666666667
2022-05-06T00:00:00Z,LIRO,temperature,2.5,6.33375
2022-05-06T00:00:00Z,LIRO,temperature,3,6.0275
2022-05-06T00:00:00Z,LIRO,temperature,3.5,5.810416666666667
2022-05-06T00:00:00Z,LIRO,temperature,4,5.645416666666667
2022-05-06T00:00:00Z,LIRO,temperature,4.5,5.468333333333334
2022-05-14T00:00:00Z,LIRO,temperature,0,19.3975
2022-05-14T00:00:00Z,LIRO,temperature,0.5,19.280833333333337
2022-05-14T00:00:00Z,LIRO,temperature,1,18.665625
2022-05-14T00:00:00Z,LIRO,temperature,1.5,15.977916666666667
2022-05-14T00:00:00Z,LIRO,temperature,2,12.755106382978724
2022-05-14T00:00:00Z,LIRO,temperature,2.5,10.874166666666667
2022-05-14T00:00:00Z,LIRO,temperature,3,9.173125
2022-05-14T00:00:00Z,LIRO,temperature,3.5,7.997708333333334
2022-05-14T00:00:00Z,LIRO,temperature,4,7.280833333333334
2022-05-14T00:00:00Z,LIRO,temperature,4.5,6.761041666666666
2022-06-23T00:00:00Z,LIRO,temperature,0,24.428936170212765
2022-06-23T00:00:00Z,LIRO,temperature,0.5,24.41595744680851
2022-06-23T00:00:00Z,LIRO,temperature,1,24.133191489361703
2022-06-23T00:00:00Z,LIRO,temperature,1.5,23.852978723404256
2022-06-23T00:00:00Z,LIRO,temperature,2,23.31
2022-06-23T00:00:00Z,LIRO,temperature,2.5,22.031702127659575
2022-06-23T00:00:00Z,LIRO,temperature,3,20.02936170212766
2022-06-23T00:00:00Z,LIRO,temperature,3.5,16.71191489361702
2022-06-23T00:00:00Z,LIRO,temperature,4,13.88595744680851
2022-06-23T00:00:00Z,LIRO,temperature,4.5,11.642127659574468
2022-07-01T00:00:00Z,LIRO,temperature,0,23.312916666666663
2022-07-01T00:00:00Z,LIRO,temperature,0.5,23.278125
2022-07-01T00:00:00Z,LIRO,temperature,1,23.064166666666665
2022-07-01T00:00:00Z,LIRO,temperature,1.5,22.802291666666665
2022-07-01T00:00:00Z,LIRO,temperature,2,22.503125
2022-07-01T00:00:00Z,LIRO,temperature,2.5,22.020625
2022-07-01T00:00:00Z,LIRO,temperature,3,21.002083333333335
2022-07-01T00:00:00Z,LIRO,temperature,3.5,18.352916666666665
2022-07-01T00:00:00Z,LIRO,temperature,4,14.934791666666667
2022-07-01T00:00:00Z,LIRO,temperature,4.5,12.440416666666668
2022-07-17T00:00:00Z,LIRO,temperature,0,25.692916666666665
2022-07-17T00:00:00Z,LIRO,temperature,0.5,25.077708333333337
2022-07-17T00:00:00Z,LIRO,temperature,1,24.460833333333333
2022-07-17T00:00:00Z,LIRO,temperature,1.5,23.938125
2022-07-17T00:00:00Z,LIRO,temperature,2,23.668125
2022-07-17T00:00:00Z,LIRO,temperature,2.5,23.362083333333334
2022-07-17T00:00:00Z,LIRO,temperature,3,22.66375
2022-07-17T00:00:00Z,LIRO,temperature,3.5,20.097291666666667
2022-07-17T00:00:00Z,LIRO,temperature,4,16.756458333333335
2022-07-17T00:00:00Z,LIRO,temperature,4.5,13.860416666666666
2022-08-02T00:00:00Z,LIRO,temperature,0,23.512291666666663
2022-08-02T00:00:00Z,LIRO,temperature,0.5,23.55666666666667
2022-08-02T00:00:00Z,LIRO,temperature,1,23.522083333333335
2022-08-02T00:00:00Z,LIRO,temperature,1.5,23.437916666666663
2022-08-02T00:00:00Z,LIRO,temperature,2,23.290625
2022-08-02T00:00:00Z,LIRO,temperature,2.5,23.09
2022-08-02T00:00:00Z,LIRO,temperature,3,22.779791666666668
2022-08-02T00:00:00Z,LIRO,temperature,3.5,21.942916666666665
2022-08-02T00:00:00Z,LIRO,temperature,4,18.896041666666665
2022-08-02T00:00:00Z,LIRO,temperature,4.5,15.474166666666669
2022-08-10T00:00:00Z,LIRO,temperature,0,24.253958333333333
2022-08-10T00:00:00Z,LIRO,temperature,0.5,24.254375
2022-08-10T00:00:00Z,LIRO,temperature,1,24.13104166666667
2022-08-10T00:00:00Z,LIRO,temperature,1.5,23.84125
2022-08-10T00:00:00Z,LIRO,temperature,2,23.549583333333334
2022-08-10T00:00:00Z,LIRO,temperature,2.5,23.3275
2022-08-10T00:00:00Z,LIRO,temperature,3,23.10375
2022-08-10T00:00:00Z,LIRO,temperature,3.5,22.593541666666667
2022-08-10T00:00:00Z,LIRO,temperature,4,20.219375
2022-08-10T00:00:00Z,LIRO,temperature,4.5,16.8
2022-08-26T00:00:00Z,LIRO,temperature,0,23.189375
2022-08-26T00:00:00Z,LIRO,temperature,0.5,23.151458333333338
2022-08-26T00:00:00Z,LIRO,temperature,1,22.949166666666667
2022-08-26T00:00:00Z,LIRO,temperature,1.5,22.856666666666666
2022-08-26T00:00:00Z,LIRO,temperature,2,22.81458333333333
2022-08-26T00:00:00Z,LIRO,temperature,2.5,22.761041666666667
2022-08-26T00:00:00Z,LIRO,temperature,3,22.611875
2022-08-26T00:00:00Z,LIRO,temperature,3.5,22.15875
2022-08-26T00:00:00Z,LIRO,temperature,4,20.93625
2022-08-26T00:00:00Z,LIRO,temperature,4.5,18.26875
2022-09-03T00:00:00Z,LIRO,temperature,0,22.881875
2022-09-03T00:00:00Z,LIRO,temperature,0.5,22.866875
2022-09-03T00:00:00Z,LIRO,temperature,1,22.780208333333334
2022-09-03T00:00:00Z,LIRO,temperature,1.5,22.71
2022-09-03T00:00:00Z,LIRO,temperature,2,22.604791666666667
2022-09-03T00:00:00Z,LIRO,temperature,2.5,22.39375
2022-09-03T00:00:00Z,LIRO,temperature,3,22.088333333333335
2022-09-03T00:00:00Z,LIRO,temperature,3.5,21.789583333333333
2022-09-03T00:00:00Z,LIRO,temperature,4,21.242916666666662
2022-09-03T00:00:00Z,LIRO,temperature,4.5,19.368125
2022-10-21T00:00:00Z,LIRO,temperature,0,8.363333333333333
2022-10-21T00:00:00Z,LIRO,temperature,0.5,8.316875
2022-10-21T00:00:00Z,LIRO,temperature,1,8.207083333333333
2022-10-21T00:00:00Z,LIRO,temperature,1.5,8.059375
2022-10-21T00:00:00Z,LIRO,temperature,2,7.990416666666667
2022-10-21T00:00:00Z,LIRO,temperature,2.5,7.961666666666667
2022-10-21T00:00:00Z,LIRO,temperature,3,7.931041666666666
2022-10-21T00:00:00Z,LIRO,temperature,3.5,7.906875
2022-10-21T00:00:00Z,LIRO,temperature,4,7.87875
2022-10-21T00:00:00Z,LIRO,temperature,4.5,7.847916666666666
2022-10-29T00:00:00Z,LIRO,temperature,0,8.685208333333334
2022-10-29T00:00:00Z,LIRO,temperature,0.5,8.707916666666666
2022-10-29T00:00:00Z,LIRO,temperature,1,8.6725
2022-10-29T00:00:00Z,LIRO,temperature,1.5,8.633125
2022-10-29T00:00:00Z,LIRO,temperature,2,8.610625
2022-10-29T00:00:00Z,LIRO,temperature,2.5,8.570208333333333
2022-10-29T00:00:00Z,LIRO,temperature,3,8.530833333333334
2022-10-29T00:00:00Z,LIRO,temperature,3.5,8.496041666666667
2022-10-29T00:00:00Z,LIRO,temperature,4,8.457708333333333
2022-10-29T00:00:00Z,LIRO,temperature,4.5,8.393541666666668
2023-05-25T00:00:00Z,LIRO,temperature,0,17.394468085106382
2023-05-25T00:00:00Z,LIRO,temperature,0.5,17.24340425531915
