datetime,site_id,variable,depth,observation
2013-05-14T00:00:00Z,PRPO,temperature,NA,NA
2013-05-23T00:00:00Z,PRPO,temperature,NA,NA
2013-06-15T00:00:00Z,PRPO,temperature,NA,NA
2013-06-24T00:00:00Z,PRPO,temperature,NA,NA
2013-07-10T00:00:00Z,PRPO,temperature,NA,NA
2013-07-17T00:00:00Z,PRPO,temperature,NA,NA
2013-08-11T00:00:00Z,PRPO,temperature,NA,NA
2013-08-18T00:00:00Z,PRPO,temperature,NA,NA
2013-08-27T00:00:00Z,PRPO,temperature,NA,NA
2013-09-03T00:00:00Z,PRPO,temperature,NA,NA
2013-09-12T00:00:00Z,PRPO,temperature,NA,NA
2013-11-15T00:00:00Z,PRPO,temperature,NA,NA
2014-04-08T00:00:00Z,PRPO,temperature,NA,NA
2014-05-01T00:00:00Z,PRPO,temperature,NA,NA
2014-05-26T00:00:00Z,PRPO,temperature,NA,NA
2014-07-13T00:00:00Z,PRPO,temperature,NA,NA
2014-07-20T00:00:00Z,PRPO,temperature,NA,NA
2014-08-30T00:00:00Z,PRPO,temperature,NA,NA
2014-09-06T00:00:00Z,PRPO,temperature,NA,NA
2014-09-15T00:00:00Z,PRPO,temperature,NA,NA
2014-09-22T00:00:00Z,PRPO,temperature,NA,NA
2014-10-24T00:00:00Z,PRPO,temperature,NA,NA
2015-03-17T00:00:00Z,PRPO,temperature,NA,NA
2015-04-11T00:00:00Z,PRPO,temperature,NA,NA
2015-04-18T00:00:00Z,PRPO,temperature,NA,NA
2015-05-04T00:00:00Z,PRPO,temperature,NA,NA
2015-05-20T00:00:00Z,PRPO,temperature,NA,NA
2015-06-14T00:00:00Z,PRPO,temperature,NA,NA
2015-07-23T00:00:00Z,PRPO,temperature,NA,NA
2015-08-01T00:00:00Z,PRPO,temperature,NA,NA
2015-08-08T00:00:00Z,PRPO,temperature,NA,NA
2015-08-24T00:00:00Z,PRPO,temperature,NA,NA
2015-09-02T00:00:00Z,PRPO,temperature,NA,NA
2015-09-25T00:00:00Z,PRPO,temperature,NA,NA
2016-03-12T00:00:00Z,PRPO,temperature,NA,NA
2016-03-19T00:00:00Z,PRPO,temperature,NA,NA
2016-03-28T00:00:00Z,PRPO,temperature,NA,NA
2016-04-04T00:00:00Z,PRPO,temperature,NA,NA
2016-04-13T00:00:00Z,PRPO,temperature,NA,NA
2016-04-20T00:00:00Z,PRPO,temperature,NA,NA
2016-04-29T00:00:00Z,PRPO,temperature,NA,NA
2016-05-15T00:00:00Z,PRPO,temperature,NA,NA
2016-06-07T00:00:00Z,PRPO,temperature,NA,NA
2016-06-16T00:00:00Z,PRPO,temperature,NA,NA
2016-06-23T00:00:00Z,PRPO,temperature,NA,NA
2016-07-25T00:00:00Z,PRPO,temperature,NA,NA
2016-08-03T00:00:00Z,PRPO,temperature,NA,NA
2016-08-10T00:00:00Z,PRPO,temperature,NA,NA
2016-09-11T00:00:00Z,PRPO,temperature,NA,NA
2016-09-27T00:00:00Z,PRPO,temperature,NA,NA
2016-10-13T00:00:00Z,PRPO,temperature,NA,NA
2016-11-07T00:00:00Z,PRPO,temperature,NA,NA
2017-05-02T00:00:00Z,PRPO,temperature,NA,NA
2017-05-18T00:00:00Z,PRPO,temperature,NA,NA
2017-06-03T00:00:00Z,PRPO,temperature,NA,NA
2017-06-10T00:00:00Z,PRPO,temperature,NA,NA
2017-06-19T00:00:00Z,PRPO,temperature,NA,NA
2017-06-26T00:00:00Z,PRPO,temperature,NA,NA
2017-07-05T00:00:00Z,PRPO,temperature,NA,NA
2017-07-28T00:00:00Z,PRPO,temperature,NA,NA
2017-08-13T00:00:00Z,PRPO,temperature,NA,NA
2017-08-22T00:00:00Z,PRPO,temperature,NA,NA
2017-08-29T00:00:00Z,PRPO,temperature,NA,NA
2017-09-07T00:00:00Z,PRPO,temperature,NA,NA
2018-04-26T00:00:00Z,PRPO,temperature,NA,NA
2018-05-05T00:00:00Z,PRPO,temperature,NA,NA
2018-05-21T00:00:00Z,PRPO,temperature,NA,NA
2018-06-06T00:00:00Z,PRPO,temperature,0,20.560285714285715
2018-06-06T00:00:00Z,PRPO,temperature,0.25,20.46257142857143
2018-06-06T00:00:00Z,PRPO,temperature,0.5,20.365714285714287
2018-06-06T00:00:00Z,PRPO,temperature,0.75,20.16857142857143
2018-06-06T00:00:00Z,PRPO,temperature,1,19.824571428571428
2018-06-13T00:00:00Z,PRPO,temperature,0,20.039166666666667
2018-06-13T00:00:00Z,PRPO,temperature,0.25,20.028125
2018-06-13T00:00:00Z,PRPO,temperature,0.5,20.017291666666665
2018-06-13T00:00:00Z,PRPO,temperature,0.75,20.005208333333332
2018-06-13T00:00:00Z,PRPO,temperature,1,19.992916666666662
2018-06-22T00:00:00Z,PRPO,temperature,0,23.671875
2018-06-22T00:00:00Z,PRPO,temperature,0.25,22.465
2018-06-22T00:00:00Z,PRPO,temperature,0.5,21.606875
2018-06-22T00:00:00Z,PRPO,temperature,0.75,21.027708333333333
2018-06-22T00:00:00Z,PRPO,temperature,1,20.495
2018-07-15T00:00:00Z,PRPO,temperature,0,24.733958333333337
2018-07-15T00:00:00Z,PRPO,temperature,0.25,24.726666666666667
2018-07-15T00:00:00Z,PRPO,temperature,0.5,24.715833333333332
2018-07-15T00:00:00Z,PRPO,temperature,0.75,24.699791666666663
2018-07-15T00:00:00Z,PRPO,temperature,1,24.669791666666665
2018-07-24T00:00:00Z,PRPO,temperature,0,22.212916666666665
2018-07-24T00:00:00Z,PRPO,temperature,0.25,22.094583333333333
2018-07-24T00:00:00Z,PRPO,temperature,0.5,21.992708333333333
2018-07-24T00:00:00Z,PRPO,temperature,0.75,21.890416666666667
2018-07-24T00:00:00Z,PRPO,temperature,1,21.83875
2018-07-31T00:00:00Z,PRPO,temperature,0,22.550208333333337
2018-07-31T00:00:00Z,PRPO,temperature,0.25,22.254375
