datetime,site_id,variable,depth,observation
2013-05-14T00:00:00Z,SUGG,temperature,NA,NA
2013-05-30T00:00:00Z,SUGG,temperature,NA,NA
2013-09-10T00:00:00Z,SUGG,temperature,NA,NA
2013-10-12T00:00:00Z,SUGG,temperature,NA,NA
2013-10-28T00:00:00Z,SUGG,temperature,NA,NA
2013-11-29T00:00:00Z,SUGG,temperature,NA,NA
2013-12-08T00:00:00Z,SUGG,temperature,NA,NA
2013-12-24T00:00:00Z,SUGG,temperature,NA,NA
2014-01-16T00:00:00Z,SUGG,temperature,NA,NA
2014-02-10T00:00:00Z,SUGG,temperature,NA,NA
2014-02-17T00:00:00Z,SUGG,temperature,NA,NA
2014-03-14T00:00:00Z,SUGG,temperature,NA,NA
2014-03-21T00:00:00Z,SUGG,temperature,NA,NA
2014-03-30T00:00:00Z,SUGG,temperature,NA,NA
2014-04-22T00:00:00Z,SUGG,temperature,NA,NA
2014-08-28T00:00:00Z,SUGG,temperature,NA,NA
2014-09-13T00:00:00Z,SUGG,temperature,NA,NA
2014-10-15T00:00:00Z,SUGG,temperature,NA,NA
2014-10-31T00:00:00Z,SUGG,temperature,NA,NA
2014-12-02T00:00:00Z,SUGG,temperature,NA,NA
2015-01-19T00:00:00Z,SUGG,temperature,NA,NA
2015-02-20T00:00:00Z,SUGG,temperature,NA,NA
2015-03-17T00:00:00Z,SUGG,temperature,NA,NA
2015-04-09T00:00:00Z,SUGG,temperature,NA,NA
2016-02-07T00:00:00Z,SUGG,temperature,NA,NA
2016-04-11T00:00:00Z,SUGG,temperature,NA,NA
2016-05-06T00:00:00Z,SUGG,temperature,NA,NA
2016-05-29T00:00:00Z,SUGG,temperature,NA,NA
2016-07-16T00:00:00Z,SUGG,temperature,NA,NA
2016-08-17T00:00:00Z,SUGG,temperature,NA,NA
2016-09-18T00:00:00Z,SUGG,temperature,NA,NA
2016-10-20T00:00:00Z,SUGG,temperature,NA,NA
2016-11-05T00:00:00Z,SUGG,temperature,NA,NA
2016-11-21T00:00:00Z,SUGG,temperature,NA,NA
2017-01-08T00:00:00Z,SUGG,temperature,NA,NA
2017-01-24T00:00:00Z,SUGG,temperature,NA,NA
