datetime,site_id,variable,depth,observation
2013-05-14T00:00:00Z,bvre,temperature,NA,NA
2013-06-15T00:00:00Z,bvre,temperature,NA,NA
2013-07-08T00:00:00Z,bvre,temperature,NA,NA
2013-07-17T00:00:00Z,bvre,temperature,NA,NA
2013-08-02T00:00:00Z,bvre,temperature,NA,NA
2013-10-05T00:00:00Z,bvre,temperature,NA,NA
2013-10-21T00:00:00Z,bvre,temperature,NA,NA
2013-11-13T00:00:00Z,bvre,temperature,NA,NA
2013-11-29T00:00:00Z,bvre,temperature,NA,NA
2013-12-31T00:00:00Z,bvre,temperature,NA,NA
2014-01-09T00:00:00Z,bvre,temperature,NA,NA
2014-01-16T00:00:00Z,bvre,temperature,NA,NA
2014-02-01T00:00:00Z,bvre,temperature,NA,NA
2014-03-14T00:00:00Z,bvre,temperature,NA,NA
2014-03-21T00:00:00Z,bvre,temperature,NA,NA
2014-05-08T00:00:00Z,bvre,temperature,NA,NA
2014-05-17T00:00:00Z,bvre,temperature,NA,NA
2014-05-24T00:00:00Z,bvre,temperature,NA,NA
2014-06-18T00:00:00Z,bvre,temperature,NA,NA
2014-07-04T00:00:00Z,bvre,temperature,NA,NA
2014-08-05T00:00:00Z,bvre,temperature,NA,NA
2014-08-28T00:00:00Z,bvre,temperature,NA,NA
2014-09-06T00:00:00Z,bvre,temperature,NA,NA
2014-09-22T00:00:00Z,bvre,temperature,NA,NA
2014-10-08T00:00:00Z,bvre,temperature,NA,NA
2014-12-11T00:00:00Z,bvre,temperature,NA,NA
2014-12-27T00:00:00Z,bvre,temperature,NA,NA
2015-01-19T00:00:00Z,bvre,temperature,NA,NA
2015-01-28T00:00:00Z,bvre,temperature,NA,NA
2015-02-04T00:00:00Z,bvre,temperature,NA,NA
2015-03-24T00:00:00Z,bvre,temperature,NA,NA
2015-04-02T00:00:00Z,bvre,temperature,NA,NA
2015-05-04T00:00:00Z,bvre,temperature,NA,NA
2015-05-11T00:00:00Z,bvre,temperature,NA,NA
2015-06-21T00:00:00Z,bvre,temperature,NA,NA
2015-08-24T00:00:00Z,bvre,temperature,NA,NA
2015-08-31T00:00:00Z,bvre,temperature,NA,NA
2015-09-16T00:00:00Z,bvre,temperature,NA,NA
2015-10-11T00:00:00Z,bvre,temperature,NA,NA
2015-10-18T00:00:00Z,bvre,temperature,NA,NA
2015-12-05T00:00:00Z,bvre,temperature,NA,NA
