datetime,site_id,variable,depth,observation
2013-05-14T00:00:00Z,fcre,temperature,NA,NA
2013-06-15T00:00:00Z,fcre,temperature,NA,NA
2013-10-05T00:00:00Z,fcre,temperature,NA,NA
2013-10-21T00:00:00Z,fcre,temperature,NA,NA
2013-11-13T00:00:00Z,fcre,temperature,NA,NA
2013-11-29T00:00:00Z,fcre,temperature,NA,NA
2014-01-09T00:00:00Z,fcre,temperature,NA,NA
2014-01-16T00:00:00Z,fcre,temperature,NA,NA
2014-03-14T00:00:00Z,fcre,temperature,NA,NA
2014-03-21T00:00:00Z,fcre,temperature,NA,NA
2014-05-08T00:00:00Z,fcre,temperature,NA,NA
2014-05-17T00:00:00Z,fcre,temperature,NA,NA
2014-05-24T00:00:00Z,fcre,temperature,NA,NA
2014-07-04T00:00:00Z,fcre,temperature,NA,NA
2014-07-11T00:00:00Z,fcre,temperature,NA,NA
2014-09-22T00:00:00Z,fcre,temperature,NA,NA
2014-10-08T00:00:00Z,fcre,temperature,NA,NA
2014-12-11T00:00:00Z,fcre,temperature,NA,NA
2014-12-27T00:00:00Z,fcre,temperature,NA,NA
2015-01-19T00:00:00Z,fcre,temperature,NA,NA
2015-01-28T00:00:00Z,fcre,temperature,NA,NA
2015-02-04T00:00:00Z,fcre,temperature,NA,NA
2015-04-02T00:00:00Z,fcre,temperature,NA,NA
2015-04-18T00:00:00Z,fcre,temperature,NA,NA
2015-05-04T00:00:00Z,fcre,temperature,NA,NA
2015-05-11T00:00:00Z,fcre,temperature,NA,NA
2015-09-16T00:00:00Z,fcre,temperature,NA,NA
2015-10-11T00:00:00Z,fcre,temperature,NA,NA
2015-10-18T00:00:00Z,fcre,temperature,NA,NA
2015-12-05T00:00:00Z,fcre,temperature,NA,NA
2016-01-06T00:00:00Z,fcre,temperature,NA,NA
2016-04-04T00:00:00Z,fcre,temperature,NA,NA
2016-04-20T00:00:00Z,fcre,temperature,NA,NA
2016-06-07T00:00:00Z,fcre,temperature,NA,NA
2016-06-14T00:00:00Z,fcre,temperature,NA,NA
2016-08-17T00:00:00Z,fcre,temperature,NA,NA
2016-10-20T00:00:00Z,fcre,temperature,NA,NA
2016-10-29T00:00:00Z,fcre,temperature,NA,NA
2016-11-05T00:00:00Z,fcre,temperature,NA,NA
2016-11-21T00:00:00Z,fcre,temperature,NA,NA
2017-03-13T00:00:00Z,fcre,temperature,NA,NA
2017-03-22T00:00:00Z,fcre,temperature,NA,NA
2017-04-14T00:00:00Z,fcre,temperature,NA,NA
2017-05-16T00:00:00Z,fcre,temperature,NA,NA
2017-06-01T00:00:00Z,fcre,temperature,NA,NA
2017-07-19T00:00:00Z,fcre,temperature,NA,NA
2017-08-20T00:00:00Z,fcre,temperature,NA,NA
2017-09-30T00:00:00Z,fcre,temperature,NA,NA
2017-11-24T00:00:00Z,fcre,temperature,NA,NA
2017-12-03T00:00:00Z,fcre,temperature,NA,NA
2018-01-20T00:00:00Z,fcre,temperature,NA,NA
2018-02-05T00:00:00Z,fcre,temperature,NA,NA
2018-03-16T00:00:00Z,fcre,temperature,NA,NA
2018-03-25T00:00:00Z,fcre,temperature,NA,NA
2018-04-26T00:00:00Z,fcre,temperature,NA,NA
2018-06-04T00:00:00Z,fcre,temperature,NA,NA
2018-08-23T00:00:00Z,fcre,temperature,5,12.5681
2018-08-23T00:00:00Z,fcre,temperature,9,11.8986
2018-10-03T00:00:00Z,fcre,temperature,0,22.7865
2018-10-03T00:00:00Z,fcre,temperature,1,21.772
2018-10-03T00:00:00Z,fcre,temperature,1.5,22.3732
2018-10-03T00:00:00Z,fcre,temperature,2,20.9922
2018-10-03T00:00:00Z,fcre,temperature,3,20.3298
2018-10-03T00:00:00Z,fcre,temperature,4,19.676
2018-10-03T00:00:00Z,fcre,temperature,5,18.3524
2018-10-03T00:00:00Z,fcre,temperature,6,16.1685
2018-10-03T00:00:00Z,fcre,temperature,7,14.8929
2018-10-03T00:00:00Z,fcre,temperature,8,13.9734
2018-10-03T00:00:00Z,fcre,temperature,9,13.2246
2018-10-19T00:00:00Z,fcre,temperature,0,16.9172
2018-10-19T00:00:00Z,fcre,temperature,1,16.8745
2018-10-19T00:00:00Z,fcre,temperature,1.5,16.8812
2018-10-19T00:00:00Z,fcre,temperature,2,16.4418
2018-10-19T00:00:00Z,fcre,temperature,3,16.2547
2018-10-19T00:00:00Z,fcre,temperature,4,16.1716
2018-10-19T00:00:00Z,fcre,temperature,5,16.1128
2018-10-19T00:00:00Z,fcre,temperature,6,15.9032
2018-10-19T00:00:00Z,fcre,temperature,7,15.2149
2018-10-19T00:00:00Z,fcre,temperature,8,13.8336
2018-10-19T00:00:00Z,fcre,temperature,9,13.1508
2018-11-04T00:00:00Z,fcre,temperature,0,12.8232
2018-11-04T00:00:00Z,fcre,temperature,1,12.8169
2018-11-04T00:00:00Z,fcre,temperature,1.5,12.8283
2018-11-04T00:00:00Z,fcre,temperature,2,12.8084
2018-11-04T00:00:00Z,fcre,temperature,3,12.3815
2018-11-04T00:00:00Z,fcre,temperature,4,12.0371
2018-11-04T00:00:00Z,fcre,temperature,5,11.9504
2018-11-04T00:00:00Z,fcre,temperature,6,11.7999
2018-11-04T00:00:00Z,fcre,temperature,7,11.7241
2018-11-04T00:00:00Z,fcre,temperature,8,11.6815
2018-11-04T00:00:00Z,fcre,temperature,9,11.6797
2018-11-11T00:00:00Z,fcre,temperature,0,11.5198
2018-11-11T00:00:00Z,fcre,temperature,1,11.529
2018-11-11T00:00:00Z,fcre,temperature,1.5,11.5308
2018-11-11T00:00:00Z,fcre,temperature,2,11.5335
2018-11-11T00:00:00Z,fcre,temperature,3,11.5406
2018-11-11T00:00:00Z,fcre,temperature,4,11.5029
2018-11-11T00:00:00Z,fcre,temperature,5,11.5089
2018-11-11T00:00:00Z,fcre,temperature,6,11.5195
2018-11-11T00:00:00Z,fcre,temperature,7,11.5232
2018-11-11T00:00:00Z,fcre,temperature,8,11.5023
2018-11-11T00:00:00Z,fcre,temperature,9,11.4989
2019-03-19T00:00:00Z,fcre,temperature,0,8.8362
2019-03-19T00:00:00Z,fcre,temperature,1,8.808
2019-03-19T00:00:00Z,fcre,temperature,1.5,8.8258
2019-03-19T00:00:00Z,fcre,temperature,2,8.6274
2019-03-19T00:00:00Z,fcre,temperature,3,8.5334
2019-03-19T00:00:00Z,fcre,temperature,4,8.4677
2019-03-19T00:00:00Z,fcre,temperature,5,8.0094
2019-03-19T00:00:00Z,fcre,temperature,6,6.356
2019-03-19T00:00:00Z,fcre,temperature,7,5.8842
2019-03-19T00:00:00Z,fcre,temperature,8,5.6888
2019-03-19T00:00:00Z,fcre,temperature,9,5.6012
2019-03-28T00:00:00Z,fcre,temperature,0,9.786
2019-03-28T00:00:00Z,fcre,temperature,1,9.266
2019-03-28T00:00:00Z,fcre,temperature,1.5,9.3717
2019-03-28T00:00:00Z,fcre,temperature,2,8.9277
2019-03-28T00:00:00Z,fcre,temperature,3,8.7575
2019-03-28T00:00:00Z,fcre,temperature,4,8.5637
2019-03-28T00:00:00Z,fcre,temperature,5,8.4172
2019-03-28T00:00:00Z,fcre,temperature,6,7.799
2019-03-28T00:00:00Z,fcre,temperature,7,7.0834
2019-03-28T00:00:00Z,fcre,temperature,8,6.4535
2019-03-28T00:00:00Z,fcre,temperature,9,6.1992
2019-04-04T00:00:00Z,fcre,temperature,0,11.3162
2019-04-04T00:00:00Z,fcre,temperature,1,10.4982
2019-04-04T00:00:00Z,fcre,temperature,1.5,10.7102
2019-04-04T00:00:00Z,fcre,temperature,2,10.1784
2019-04-04T00:00:00Z,fcre,temperature,3,9.8674
2019-04-04T00:00:00Z,fcre,temperature,4,9.3109
2019-04-04T00:00:00Z,fcre,temperature,5,8.9893
2019-04-04T00:00:00Z,fcre,temperature,6,8.0698
2019-04-04T00:00:00Z,fcre,temperature,7,7.4868
2019-04-04T00:00:00Z,fcre,temperature,8,7.0353
2019-04-04T00:00:00Z,fcre,temperature,9,6.7077
2019-05-06T00:00:00Z,fcre,temperature,0,22.0807
2019-05-06T00:00:00Z,fcre,temperature,1,21.6419
