datetime,site_id,depth,observation,variable
2018-07-06T00:00:00Z,fcre,0,30.3774,temperature
2018-07-07T00:00:00Z,fcre,0,29.1358,temperature
2018-07-08T00:00:00Z,fcre,0,28.538,temperature
2018-07-09T00:00:00Z,fcre,0,28.4566,temperature
2018-07-10T00:00:00Z,fcre,0,28.9801,temperature
2018-07-11T00:00:00Z,fcre,0,29.3266,temperature
2018-07-12T00:00:00Z,fcre,0,29.4018,temperature
2018-07-13T00:00:00Z,fcre,0,29.1381,temperature
2018-07-14T00:00:00Z,fcre,0,28.6084,temperature
2018-07-15T00:00:00Z,fcre,0,28.5772,temperature
2018-07-16T00:00:00Z,fcre,0,29.0508,temperature
2018-07-17T00:00:00Z,fcre,0,28.6236,temperature
2018-07-18T00:00:00Z,fcre,0,29.4748,temperature
2018-07-19T00:00:00Z,fcre,0,29.0528,temperature
2018-07-20T00:00:00Z,fcre,0,28.1208,temperature
2018-07-21T00:00:00Z,fcre,0,27.1986,temperature
2018-07-22T00:00:00Z,fcre,0,27.1472,temperature
2018-07-23T00:00:00Z,fcre,0,26.1039,temperature
2018-07-24T00:00:00Z,fcre,0,25.7878,temperature
2018-07-25T00:00:00Z,fcre,0,25.8204,temperature
2018-07-26T00:00:00Z,fcre,0,25.5332,temperature
2018-07-27T00:00:00Z,fcre,0,28.0511,temperature
2018-07-28T00:00:00Z,fcre,0,28.5763,temperature
2018-07-29T00:00:00Z,fcre,0,28.1206,temperature
2018-07-30T00:00:00Z,fcre,0,27.301,temperature
2018-07-31T00:00:00Z,fcre,0,26.6839,temperature
2018-08-01T00:00:00Z,fcre,0,25.7064,temperature
2018-08-02T00:00:00Z,fcre,0,26.0644,temperature
2018-08-03T00:00:00Z,fcre,0,25.419,temperature
2018-08-04T00:00:00Z,fcre,0,24.9103,temperature
2018-08-05T00:00:00Z,fcre,0,28.4375,temperature
2018-08-06T00:00:00Z,fcre,0,29.2463,temperature
2018-08-07T00:00:00Z,fcre,0,28.9049,temperature
2018-08-08T00:00:00Z,fcre,0,28.6178,temperature
2018-08-09T00:00:00Z,fcre,0,28.1012,temperature
2018-08-10T00:00:00Z,fcre,0,28.8236,temperature
2018-08-11T00:00:00Z,fcre,0,28.9366,temperature
2018-08-12T00:00:00Z,fcre,0,28.0921,temperature
2018-08-13T00:00:00Z,fcre,0,26.8618,temperature
2018-08-14T00:00:00Z,fcre,0,26.985,temperature
2018-08-25T00:00:00Z,fcre,0,24.9131,temperature
2018-08-26T00:00:00Z,fcre,0,25.5892,temperature
2018-08-28T00:00:00Z,fcre,0,27.244,temperature
2018-08-29T00:00:00Z,fcre,0,28.6181,temperature
2018-08-30T00:00:00Z,fcre,0,28.7018,temperature
2018-08-31T00:00:00Z,fcre,0,27.9952,temperature
2018-09-01T00:00:00Z,fcre,0,27.5186,temperature
2018-09-02T00:00:00Z,fcre,0,26.779,temperature
2018-09-03T00:00:00Z,fcre,0,28.7087,temperature
2018-09-04T00:00:00Z,fcre,0,28.5547,temperature
2018-09-05T00:00:00Z,fcre,0,28.9703,temperature
2018-09-06T00:00:00Z,fcre,0,28.0443,temperature
2018-09-07T00:00:00Z,fcre,0,29.1573,temperature
2018-09-08T00:00:00Z,fcre,0,27.8599,temperature
2018-09-09T00:00:00Z,fcre,0,26.7966,temperature
2018-09-10T00:00:00Z,fcre,0,24.9519,temperature
2018-09-11T00:00:00Z,fcre,0,23.9158,temperature
2018-09-12T00:00:00Z,fcre,0,24.0767,temperature
2018-09-13T00:00:00Z,fcre,0,24.528,temperature
2018-09-14T00:00:00Z,fcre,0,25.5473,temperature
2018-09-15T00:00:00Z,fcre,0,24.6529,temperature
2018-09-16T00:00:00Z,fcre,0,24.0323,temperature
2018-09-17T00:00:00Z,fcre,0,23.1178,temperature
2018-09-18T00:00:00Z,fcre,0,23.2823,temperature
2018-09-19T00:00:00Z,fcre,0,23.566,temperature
2018-09-20T00:00:00Z,fcre,0,25.1581,temperature
2018-09-21T00:00:00Z,fcre,0,25.2632,temperature
2018-09-22T00:00:00Z,fcre,0,25.2622,temperature
2018-09-23T00:00:00Z,fcre,0,25.1478,temperature
2018-09-24T00:00:00Z,fcre,0,22.8826,temperature
2018-09-26T00:00:00Z,fcre,0,22.0201,temperature
2018-09-27T00:00:00Z,fcre,0,23.3168,temperature
2018-09-28T00:00:00Z,fcre,0,21.587,temperature
2018-09-29T00:00:00Z,fcre,0,22.529,temperature
2018-09-30T00:00:00Z,fcre,0,22.3002,temperature
2018-10-01T00:00:00Z,fcre,0,21.1166,temperature
2018-10-02T00:00:00Z,fcre,0,22.4368,temperature
2018-10-03T00:00:00Z,fcre,0,22.7865,temperature
2018-10-04T00:00:00Z,fcre,0,24.4049,temperature
2018-10-05T00:00:00Z,fcre,0,24.9879,temperature
2018-10-06T00:00:00Z,fcre,0,24.3034,temperature
2018-10-07T00:00:00Z,fcre,0,22.9941,temperature
2018-10-08T00:00:00Z,fcre,0,24.8527,temperature
2018-10-09T00:00:00Z,fcre,0,23.9074,temperature
2018-10-10T00:00:00Z,fcre,0,23.4408,temperature
2018-10-11T00:00:00Z,fcre,0,22.5,temperature
2018-10-12T00:00:00Z,fcre,0,21.5936,temperature
2018-10-13T00:00:00Z,fcre,0,19.6253,temperature
2018-10-14T00:00:00Z,fcre,0,18.6277,temperature
2018-10-15T00:00:00Z,fcre,0,17.5092,temperature
2018-10-16T00:00:00Z,fcre,0,18.6218,temperature
2018-10-17T00:00:00Z,fcre,0,18.2646,temperature
2018-10-18T00:00:00Z,fcre,0,17.036,temperature
2018-10-19T00:00:00Z,fcre,0,16.9172,temperature
2018-10-20T00:00:00Z,fcre,0,16.3034,temperature
2018-10-21T00:00:00Z,fcre,0,15.8686,temperature
2018-10-22T00:00:00Z,fcre,0,15.1745,temperature
2018-10-23T00:00:00Z,fcre,0,14.3424,temperature
2018-10-24T00:00:00Z,fcre,0,13.9872,temperature
2018-10-25T00:00:00Z,fcre,0,14.0846,temperature
2018-10-26T00:00:00Z,fcre,0,13.3377,temperature
2018-10-27T00:00:00Z,fcre,0,12.8159,temperature
2018-10-28T00:00:00Z,fcre,0,12.6251,temperature
2018-10-29T00:00:00Z,fcre,0,12.4204,temperature
2018-10-30T00:00:00Z,fcre,0,12.6576,temperature
2018-10-31T00:00:00Z,fcre,0,12.3286,temperature
2018-11-01T00:00:00Z,fcre,0,13.0942,temperature
2018-11-02T00:00:00Z,fcre,0,13.0084,temperature
2018-11-03T00:00:00Z,fcre,0,13.2316,temperature
2018-11-04T00:00:00Z,fcre,0,12.8232,temperature
2018-11-05T00:00:00Z,fcre,0,12.2136,temperature
2018-11-06T00:00:00Z,fcre,0,12.7852,temperature
2018-11-07T00:00:00Z,fcre,0,12.7053,temperature
2018-11-08T00:00:00Z,fcre,0,13.1252,temperature
2018-11-09T00:00:00Z,fcre,0,12.612,temperature
2018-11-10T00:00:00Z,fcre,0,12.0292,temperature
2018-11-11T00:00:00Z,fcre,0,11.5198,temperature
2018-11-12T00:00:00Z,fcre,0,10.569,temperature
2018-11-13T00:00:00Z,fcre,0,10.0068,temperature
2018-11-14T00:00:00Z,fcre,0,9.7149,temperature
2018-11-15T00:00:00Z,fcre,0,9.3584,temperature
2018-11-16T00:00:00Z,fcre,0,8.7516,temperature
2018-11-17T00:00:00Z,fcre,0,8.5741,temperature
2018-11-18T00:00:00Z,fcre,0,8.8072,temperature
2018-11-19T00:00:00Z,fcre,0,8.0473,temperature
2018-11-20T00:00:00Z,fcre,0,8.6981,temperature
2018-11-21T00:00:00Z,fcre,0,8.9797,temperature
2018-11-22T00:00:00Z,fcre,0,8.4054,temperature
2018-11-23T00:00:00Z,fcre,0,8.1661,temperature
2018-11-24T00:00:00Z,fcre,0,7.4847,temperature
2018-11-25T00:00:00Z,fcre,0,7.2303,temperature
2018-11-26T00:00:00Z,fcre,0,7.3842,temperature
2018-11-27T00:00:00Z,fcre,0,7.051,temperature
2018-11-28T00:00:00Z,fcre,0,6.6411,temperature
2018-11-29T00:00:00Z,fcre,0,5.8097,temperature
2018-11-30T00:00:00Z,fcre,0,5.7071,temperature
2018-12-01T00:00:00Z,fcre,0,6.0565,temperature
2018-12-02T00:00:00Z,fcre,0,5.9164,temperature
