station,date,depth_m,layer,site_type,parameter,value,flag,gen_flag,org_sampid,org_id
220,2017-09-18,4.5,E,lake,alkalinity_mglCaCO3,6,,,NA,33741
210,2017-09-18,4.5,E,lake,alkalinity_mglCaCO3,6.4,,,NA,33738
200,2017-09-18,4.5,E,lake,alkalinity_mglCaCO3,6.2,,,NA,33735
230,2017-09-18,5.5,E,lake,alkalinity_mglCaCO3,6.4,,,NA,33745
230,2017-08-22,3.5,E,lake,alkalinity_mglCaCO3,7.2,,,NA,33486
200,2017-08-22,4,E,lake,alkalinity_mglCaCO3,6.2,,,NA,33474
210,2017-08-22,3.5,E,lake,alkalinity_mglCaCO3,6,,,NA,33477
220,2017-08-22,3.5,E,lake,alkalinity_mglCaCO3,7,,,NA,33480
220,2017-07-18,3,E,lake,alkalinity_mglCaCO3,6.7,,,NA,33423
200,2017-07-18,3,E,lake,alkalinity_mglCaCO3,6,,,NA,33414
230,2017-07-18,3,E,lake,alkalinity_mglCaCO3,6.1,,,NA,33426
210,2017-07-18,3,E,lake,alkalinity_mglCaCO3,6.3,,,NA,33417
200,2017-06-20,4,E,lake,alkalinity_mglCaCO3,6.2,,,NA,33336
210,2017-06-20,2,E,lake,alkalinity_mglCaCO3,6.3,,,NA,33343
220,2017-06-20,2,E,lake,alkalinity_mglCaCO3,6.7,,,NA,33347
230,2017-06-20,2.5,E,lake,alkalinity_mglCaCO3,5.8,,,NA,33350
200,2016-09-28,5,E,lake,alkalinity_mglCaCO3,7.4,,,NA,33154
210,2016-09-28,5.5,E,lake,alkalinity_mglCaCO3,7.5,,,NA,33157
220,2016-09-28,6,E,lake,alkalinity_mglCaCO3,7.1,,,NA,33161
230,2016-09-28,6,E,lake,alkalinity_mglCaCO3,7.1,,,NA,33164
200,2016-08-23,4,E,lake,alkalinity_mglCaCO3,6.4,,,NA,33109
220,2016-08-23,4,E,lake,alkalinity_mglCaCO3,6.1,,,NA,33115
230,2016-08-23,4.5,E,lake,alkalinity_mglCaCO3,6.2,,,NA,33118
210,2016-08-23,4.5,E,lake,alkalinity_mglCaCO3,6.3,,,NA,33112
200,2016-07-18,3,E,lake,alkalinity_mglCaCO3,6,,,NA,33037
210,2016-07-18,3,E,lake,alkalinity_mglCaCO3,5.8,,,NA,33040
230,2016-07-18,3,E,lake,alkalinity_mglCaCO3,6.2,,,NA,33049
220,2016-07-18,2.5,E,lake,alkalinity_mglCaCO3,5.4,,,NA,33043
230,2016-06-21,2.5,E,lake,alkalinity_mglCaCO3,6,,,NA,32980
200,2016-06-21,2.5,E,lake,alkalinity_mglCaCO3,5.9,,,NA,32967
210,2016-06-21,4.5,E,lake,alkalinity_mglCaCO3,5.9,,,NA,32970
220,2016-06-21,3.5,E,lake,alkalinity_mglCaCO3,5.9,,,NA,32977
220,2016-05-31,1.5,E,lake,alkalinity_mglCaCO3,4.4,,,NA,33192
210,2016-05-31,2,E,lake,alkalinity_mglCaCO3,5.1,,,NA,33189
200,2016-05-31,3,E,lake,alkalinity_mglCaCO3,4.9,,,NA,33149
230,2016-05-31,3,E,lake,alkalinity_mglCaCO3,5.3,,,NA,33195
230,2015-09-21,5,E,lake,alkalinity_mglCaCO3,6.1,,,NA,32575
200,2015-09-21,4,E,lake,alkalinity_mglCaCO3,6.1,,,NA,32563
210,2015-09-21,4,E,lake,alkalinity_mglCaCO3,5.9,,,NA,32566
220,2015-09-21,4,E,lake,alkalinity_mglCaCO3,6,,,NA,32569
210,2015-08-10,4,E,lake,alkalinity_mglCaCO3,5.9,,,NA,31603
220,2015-08-10,4,E,lake,alkalinity_mglCaCO3,6.4,,,NA,31606
230,2015-08-10,4,E,lake,alkalinity_mglCaCO3,5.5,,,NA,31609
200,2015-08-10,4,E,lake,alkalinity_mglCaCO3,6.3,,,NA,31597
200,2015-07-20,3,E,lake,alkalinity_mglCaCO3,5.8,,,NA,31264
210,2015-07-20,2,E,lake,alkalinity_mglCaCO3,5.4,,,NA,31267
220,2015-07-20,4,E,lake,alkalinity_mglCaCO3,5.5,,,NA,31273
230,2015-07-20,4,E,lake,alkalinity_mglCaCO3,5.7,,,NA,31276
210,2015-06-22,3,E,lake,alkalinity_mglCaCO3,5.6,,,NA,30967
230,2015-06-22,4,E,lake,alkalinity_mglCaCO3,4.7,,,NA,30974
200,2015-06-22,3,E,lake,alkalinity_mglCaCO3,5.5,,,NA,30960
220,2015-06-22,3,E,lake,alkalinity_mglCaCO3,5.8,,,NA,30971
230,2014-09-15,6,E,lake,alkalinity_mglCaCO3,5.5,,,NA,30852
220,2014-09-15,5,E,lake,alkalinity_mglCaCO3,6.8,,,NA,30849
210,2014-09-15,5,E,lake,alkalinity_mglCaCO3,5.7,,,NA,30846
200,2014-09-15,5,E,lake,alkalinity_mglCaCO3,7.1,,,NA,30843
230,2014-08-19,0,E,lake,alkalinity_mglCaCO3,5.8,,,NA,30796
220,2014-08-19,4,E,lake,alkalinity_mglCaCO3,6,,,NA,30789
200,2014-08-19,4,E,lake,alkalinity_mglCaCO3,5.5,,,NA,30782
210,2014-08-19,4,E,lake,alkalinity_mglCaCO3,6.9,,,NA,30786
200,2014-07-22,4,E,lake,alkalinity_mglCaCO3,5.8,,,NA,30723
210,2014-07-22,3,E,lake,alkalinity_mglCaCO3,6.1,,,NA,30726
220,2014-07-22,3,E,lake,alkalinity_mglCaCO3,5.6,,,NA,30732
230,2014-07-22,4,E,lake,alkalinity_mglCaCO3,5.8,,,NA,30735
220,2014-06-09,2,E,lake,alkalinity_mglCaCO3,4.7,,,NA,30400
200,2014-06-09,3,E,lake,alkalinity_mglCaCO3,5.3,,,NA,30390
210,2014-06-09,2,E,lake,alkalinity_mglCaCO3,4.9,,,NA,30397
230,2014-06-09,3,E,lake,alkalinity_mglCaCO3,5,,,NA,30403
210,2014-05-27,6,E,lake,alkalinity_mglCaCO3,5.5,,,NA,30454
230,2013-09-17,0,E,lake,alkalinity_mglCaCO3,4.4,,,NA,29479
220,2013-09-17,4,E,lake,alkalinity_mglCaCO3,4.5,,,NA,29476
210,2013-09-17,4,E,lake,alkalinity_mglCaCO3,4.5,,,NA,29473
200,2013-09-17,4,E,lake,alkalinity_mglCaCO3,4.2,,,NA,29470
230,2013-08-19,4,E,lake,alkalinity_mglCaCO3,5.6,,,NA,29431
210,2013-08-19,4,E,lake,alkalinity_mglCaCO3,4.5,,,NA,29422
200,2013-08-19,4,E,lake,alkalinity_mglCaCO3,4.6,,,NA,29419
220,2013-08-19,4,E,lake,alkalinity_mglCaCO3,6.2,,,NA,29425
210,2013-07-15,0,E,lake,alkalinity_mglCaCO3,3.8,,,NA,29347
200,2013-07-15,2,E,lake,alkalinity_mglCaCO3,4.3,,,NA,29344
230,2013-07-15,2,E,lake,alkalinity_mglCaCO3,4.5,,,NA,29356
220,2013-07-15,2,E,lake,alkalinity_mglCaCO3,4.4,,,NA,29353
210,2013-06-17,4,E,lake,alkalinity_mglCaCO3,6.3,,,NA,29049
220,2013-06-17,4,E,lake,alkalinity_mglCaCO3,4.5,,,NA,29053
230,2013-06-17,4,E,lake,alkalinity_mglCaCO3,4.4,,,NA,29056
200,2013-06-17,4,E,lake,alkalinity_mglCaCO3,5.7,,,NA,29043
200,2012-09-17,4,E,lake,alkalinity_mglCaCO3,5.7,,,NA,28945
210,2012-09-17,4,E,lake,alkalinity_mglCaCO3,6.2,,,NA,28948
