datetime,site_id,variable,depth,observation
2013-09-30T00:00:00Z,sunp,temperature,NA,NA
2014-05-12T00:00:00Z,sunp,temperature,NA,NA
2014-06-29T00:00:00Z,sunp,temperature,NA,NA
2014-09-01T00:00:00Z,sunp,temperature,NA,NA
2014-09-17T00:00:00Z,sunp,temperature,NA,NA
2014-10-03T00:00:00Z,sunp,temperature,NA,NA
2014-11-20T00:00:00Z,sunp,temperature,NA,NA
2015-07-02T00:00:00Z,sunp,temperature,NA,NA
2015-08-03T00:00:00Z,sunp,temperature,NA,NA
2015-08-19T00:00:00Z,sunp,temperature,NA,NA
2015-11-23T00:00:00Z,sunp,temperature,NA,NA
2016-04-15T00:00:00Z,sunp,temperature,NA,NA
2016-06-18T00:00:00Z,sunp,temperature,NA,NA
2016-07-04T00:00:00Z,sunp,temperature,NA,NA
2016-07-20T00:00:00Z,sunp,temperature,NA,NA
2016-08-05T00:00:00Z,sunp,temperature,NA,NA
2016-09-22T00:00:00Z,sunp,temperature,NA,NA
2016-10-24T00:00:00Z,sunp,temperature,NA,NA
2017-04-18T00:00:00Z,sunp,temperature,NA,NA
2017-05-04T00:00:00Z,sunp,temperature,NA,NA
2017-05-20T00:00:00Z,sunp,temperature,NA,NA
2017-06-21T00:00:00Z,sunp,temperature,NA,NA
2017-08-24T00:00:00Z,sunp,temperature,NA,NA
2017-09-25T00:00:00Z,sunp,temperature,NA,NA
2017-10-27T00:00:00Z,sunp,temperature,NA,NA
2017-11-12T00:00:00Z,sunp,temperature,NA,NA
2017-11-28T00:00:00Z,sunp,temperature,NA,NA
2018-05-23T00:00:00Z,sunp,temperature,NA,NA
2018-06-08T00:00:00Z,sunp,temperature,NA,NA
2018-07-10T00:00:00Z,sunp,temperature,NA,NA
2018-08-27T00:00:00Z,sunp,temperature,NA,NA
2018-10-14T00:00:00Z,sunp,temperature,NA,NA
2019-05-26T00:00:00Z,sunp,temperature,NA,NA
2019-06-27T00:00:00Z,sunp,temperature,NA,NA
2019-07-13T00:00:00Z,sunp,temperature,NA,NA
2019-07-29T00:00:00Z,sunp,temperature,NA,NA
2019-08-14T00:00:00Z,sunp,temperature,NA,NA
2019-08-30T00:00:00Z,sunp,temperature,NA,NA
2019-09-15T00:00:00Z,sunp,temperature,NA,NA
2019-11-02T00:00:00Z,sunp,temperature,NA,NA
2020-06-13T00:00:00Z,sunp,temperature,NA,NA
2020-07-31T00:00:00Z,sunp,temperature,NA,NA
2021-05-15T00:00:00Z,sunp,temperature,NA,NA
2021-06-16T00:00:00Z,sunp,temperature,1,20.17956125
2021-06-16T00:00:00Z,sunp,temperature,2,20.208195347222222
2021-06-16T00:00:00Z,sunp,temperature,3,20.218878541666665
2021-06-16T00:00:00Z,sunp,temperature,4,20.18186875
2021-06-16T00:00:00Z,sunp,temperature,5,19.287901597222223
2021-06-16T00:00:00Z,sunp,temperature,6,15.594527777777778
2021-06-16T00:00:00Z,sunp,temperature,7,13.059781527777778
2021-06-16T00:00:00Z,sunp,temperature,8,11.763210555555556
2021-06-16T00:00:00Z,sunp,temperature,9,10.9348740625
2021-06-16T00:00:00Z,sunp,temperature,10,10.383931222222222
2021-08-03T00:00:00Z,sunp,temperature,1,21.391195555555555
2021-08-03T00:00:00Z,sunp,temperature,2,21.298648888888888
2021-08-03T00:00:00Z,sunp,temperature,3,21.27421319444445
